Group,Category,Price,City,Country
Groceries,🚬Cigarette pack,$2.97,Johannesburg,South-Africa
Groceries,"💊Cold medicince,1 week",$5.59,Johannesburg,South-Africa
Groceries,🧴Hair Shampoo,$3.94,Johannesburg,South-Africa
Groceries,"🧻Toilet paper,4 rolls",$1.88,Johannesburg,South-Africa
Groceries,"👄Toothpaste,1 tube",$1.42,Johannesburg,South-Africa
Other,"🏋️Gym Membership,1 month",$33.2,Johannesburg,South-Africa
Other,"🎫Cinema Ticket,1 person",$7.2,Johannesburg,South-Africa
Other,👩‍⚕️Doctor's visit,$27.8,Johannesburg,South-Africa
Other,"💇Haircut,simple",$5.55,Johannesburg,South-Africa
Other,👖Brand Jeans,$48.5,Johannesburg,South-Africa
Other,👟Brand Sneakers,$88.8,Johannesburg,South-Africa
Other,"👶Daycare or Preschool,1 month",$214,Johannesburg,South-Africa
Other,"🏫International Primary School,1 year",$5271,Johannesburg,South-Africa
Eating Out,🍱Lunch Menu,$6.51,Durban,South-Africa
Eating Out,"🥂Dinner in a Restaurant,for 2",$28.5,Durban,South-Africa
Eating Out,"🥪Fast food meal,equiv. McDonald's",$4.91,Durban,South-Africa
Eating Out,"🍻Beer in a Pub,0.5 L or 16 fl oz",$1.91,Durban,South-Africa
Eating Out,☕Cappuccino,$1.83,Durban,South-Africa
Eating Out,"🥤Pepsi / Coke,0.5 L or 16.9 fl oz",$0.85,Durban,South-Africa
Rent & Utilities,"🏙️1 bedroom apartment in city Center,40 m2 or 430 ft2",$332,Durban,South-Africa
Rent & Utilities,"🏡Cheap 1 bedroom apartment,40 m2 or 430 ft2",$311,Durban,South-Africa
Rent & Utilities,"🏙️3 bedroom apartment in city Center,80 m2 or 860 ft2",$693,Durban,South-Africa
Rent & Utilities,"🏡Cheap 3 bedroom apartment,80 m2 or 860 ft2",$584,Durban,South-Africa
Rent & Utilities,"🔌Utility Bill one person,electricity, heating, water, etc.",$84.3,Durban,South-Africa
Rent & Utilities,"🔌Utility Bill for a Family,electricity, heating, water, etc.",$128,Durban,South-Africa
Rent & Utilities,"🌐Internet plan,50 Mbps+ 1 month unlimited",$34.5,Durban,South-Africa
Rent & Utilities,🏦Mortgage Interest Rate for 20 Years,N/A,Durban,South-Africa
Rent & Utilities,"🏙️Apartment price to Buy in city Center,1 m2 or 10 ft2",$1073,Durban,South-Africa
Rent & Utilities,"🏡House price to Buy in Suburbs,1 m2 or 10 ft2",$1107,Durban,South-Africa
Transportation,🚌Local transport ticket,$1.77,Durban,South-Africa
Transportation,🎟️Monthly ticket local transport,$37.2,Durban,South-Africa
Transportation,"🚕Taxi Ride,8 km or 5 mi",$6.45,Durban,South-Africa
Transportation,"⛽Gas / Petrol,1 L or 0.26 gal",$1.28,Durban,South-Africa
Groceries,"🥛Milk,1 L or 1 qt",$1.02,Durban,South-Africa
Groceries,"🍞Bread,0.5 kg or 1.1 lb",$0.92,Durban,South-Africa
Groceries,"🍚Rice,1 kg or 2.2 lb",$1.35,Durban,South-Africa
Groceries,"🥚Eggs,x12",$2.03,Durban,South-Africa
Groceries,"🧀Cheese,1 kg or 2.2 lb",$6.87,Durban,South-Africa
Groceries,"🐔Chicken Breast,1 kg or 2.2 lb",$4.29,Durban,South-Africa
Groceries,"🥩Round Steak,1 kg or 2.2 lb",$6,Durban,South-Africa
Groceries,"🍏Apples,1 kg or 2.2 lb",$1.36,Durban,South-Africa
Groceries,"🍌Banana,1 kg or 2.2 lb",$1.21,Durban,South-Africa
Groceries,"🍊Oranges,1 kg or 2.2 lb",$1.17,Durban,South-Africa
Groceries,"🍅Tomato,1 kg or 2.2 lb",$1.25,Durban,South-Africa
Groceries,"🥔Potato,1 kg or 2.2 lb",$1.19,Durban,South-Africa
Groceries,"🧅Onion,1 kg or 2.2 lb",$1.15,Durban,South-Africa
Groceries,"🌊Water,1 L or 1 qt",$0.6,Durban,South-Africa
Groceries,"🍹Coca-Cola / Pepsi,2 L or 67.6 fl oz",$1.34,Durban,South-Africa
Groceries,"🍾Wine (mid-priced),750 mL bottle",$4.38,Durban,South-Africa
Groceries,"🍺Beer,0.5 L or 16 fl oz",$1.47,Durban,South-Africa
Groceries,🚬Cigarette pack,$2.81,Durban,South-Africa
Groceries,"💊Cold medicince,1 week",$2.98,Durban,South-Africa
Groceries,🧴Hair Shampoo,$3.17,Durban,South-Africa
Groceries,"🧻Toilet paper,4 rolls",$1.63,Durban,South-Africa
Groceries,"👄Toothpaste,1 tube",$1.35,Durban,South-Africa
Other,"🏋️Gym Membership,1 month",$32.8,Durban,South-Africa
Other,"🎫Cinema Ticket,1 person",$5.97,Durban,South-Africa
Other,👩‍⚕️Doctor's visit,$28.9,Durban,South-Africa
Other,"💇Haircut,simple",$3.72,Durban,South-Africa
Other,👖Brand Jeans,$40,Durban,South-Africa
Other,👟Brand Sneakers,$84.9,Durban,South-Africa
Other,"👶Daycare or Preschool,1 month",$197,Durban,South-Africa
Other,"🏫International Primary School,1 year",$4818,Durban,South-Africa
Eating Out,🍱Lunch Menu,$8.17,Pretoria,South-Africa
Eating Out,"🥂Dinner in a Restaurant,for 2",$32.8,Pretoria,South-Africa
Eating Out,"🥪Fast food meal,equiv. McDonald's",$4.68,Pretoria,South-Africa
Eating Out,"🍻Beer in a Pub,0.5 L or 16 fl oz",$2.28,Pretoria,South-Africa
Eating Out,☕Cappuccino,$1.98,Pretoria,South-Africa
Eating Out,"🥤Pepsi / Coke,0.5 L or 16.9 fl oz",$1.04,Pretoria,South-Africa
Rent & Utilities,"🏙️1 bedroom apartment in city Center,40 m2 or 430 ft2",$352,Pretoria,South-Africa
Rent & Utilities,"🏡Cheap 1 bedroom apartment,40 m2 or 430 ft2",$331,Pretoria,South-Africa
Rent & Utilities,"🏙️3 bedroom apartment in city Center,80 m2 or 860 ft2",$649,Pretoria,South-Africa
Rent & Utilities,"🏡Cheap 3 bedroom apartment,80 m2 or 860 ft2",$712,Pretoria,South-Africa
Rent & Utilities,"🔌Utility Bill one person,electricity, heating, water, etc.",$75.4,Pretoria,South-Africa
Rent & Utilities,"🔌Utility Bill for a Family,electricity, heating, water, etc.",$115,Pretoria,South-Africa
Rent & Utilities,"🌐Internet plan,50 Mbps+ 1 month unlimited",$36.8,Pretoria,South-Africa
Rent & Utilities,🏦Mortgage Interest Rate for 20 Years,N/A,Pretoria,South-Africa
Rent & Utilities,"🏙️Apartment price to Buy in city Center,1 m2 or 10 ft2",$811,Pretoria,South-Africa
Rent & Utilities,"🏡House price to Buy in Suburbs,1 m2 or 10 ft2",$737,Pretoria,South-Africa
Transportation,🚌Local transport ticket,$2.17,Pretoria,South-Africa
Transportation,🎟️Monthly ticket local transport,$62.2,Pretoria,South-Africa
Transportation,"🚕Taxi Ride,8 km or 5 mi",$12.3,Pretoria,South-Africa
Transportation,"⛽Gas / Petrol,1 L or 0.26 gal",$1.27,Pretoria,South-Africa
Groceries,"🥛Milk,1 L or 1 qt",$1.23,Pretoria,South-Africa
Groceries,"🍞Bread,0.5 kg or 1.1 lb",$1.04,Pretoria,South-Africa
Groceries,"🍚Rice,1 kg or 2.2 lb",$1.57,Pretoria,South-Africa
Groceries,"🥚Eggs,x12",$2.24,Pretoria,South-Africa
Groceries,"🧀Cheese,1 kg or 2.2 lb",$7.3,Pretoria,South-Africa
Groceries,"🐔Chicken Breast,1 kg or 2.2 lb",$4.42,Pretoria,South-Africa
Groceries,"🥩Round Steak,1 kg or 2.2 lb",$6.47,Pretoria,South-Africa
Groceries,"🍏Apples,1 kg or 2.2 lb",$1.59,Pretoria,South-Africa
Groceries,"🍌Banana,1 kg or 2.2 lb",$1.56,Pretoria,South-Africa
Groceries,"🍊Oranges,1 kg or 2.2 lb",$1.61,Pretoria,South-Africa
Groceries,"🍅Tomato,1 kg or 2.2 lb",$1.65,Pretoria,South-Africa
Groceries,"🥔Potato,1 kg or 2.2 lb",$1.24,Pretoria,South-Africa
Groceries,"🧅Onion,1 kg or 2.2 lb",$1.23,Pretoria,South-Africa
Groceries,"🌊Water,1 L or 1 qt",$0.74,Pretoria,South-Africa
Groceries,"🍹Coca-Cola / Pepsi,2 L or 67.6 fl oz",$1.39,Pretoria,South-Africa
Groceries,"🍾Wine (mid-priced),750 mL bottle",$4.51,Pretoria,South-Africa
Groceries,"🍺Beer,0.5 L or 16 fl oz",$1.45,Pretoria,South-Africa
Groceries,🚬Cigarette pack,$2.98,Pretoria,South-Africa
Groceries,"💊Cold medicince,1 week",$3.91,Pretoria,South-Africa
Groceries,🧴Hair Shampoo,$3.03,Pretoria,South-Africa
Groceries,"🧻Toilet paper,4 rolls",$1.41,Pretoria,South-Africa
Groceries,"👄Toothpaste,1 tube",$1.11,Pretoria,South-Africa
Other,"🏋️Gym Membership,1 month",$32.2,Pretoria,South-Africa
Other,"🎫Cinema Ticket,1 person",$7.31,Pretoria,South-Africa
Other,👩‍⚕️Doctor's visit,$28.3,Pretoria,South-Africa
Other,"💇Haircut,simple",$6.35,Pretoria,South-Africa
Other,👖Brand Jeans,$46.2,Pretoria,South-Africa
Other,👟Brand Sneakers,$84.3,Pretoria,South-Africa
Other,"👶Daycare or Preschool,1 month",$200,Pretoria,South-Africa
Other,"🏫International Primary School,1 year",$3830,Pretoria,South-Africa
